Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","642","Romania","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","","101.158286","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","","101.81834","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","","102.148367","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2018","2018","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","","102.948433","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2018","2018","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","","103.248457","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2018","2018","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","","103.548482","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2018","2018","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","","104.108528","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2018","2018","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","","104.598568","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2018","2018","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","104.618569","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2018","2018","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","","104.118528","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2018","2018","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","","104.418553","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2018","2018","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","","104.908593","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2018","2018","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","","105.448637","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2018","2018","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","","105.308626","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2018","2018","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","","105.488641","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2019","2019","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","","106.368713","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2019","2019","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","","107.198781","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2019","2019","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","","107.728824","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2019","2019","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","","108.388878","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2019","2019","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","","108.888919","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2019","2019","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","108.628898","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2019","2019","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","","108.40888","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2019","2019","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","","108.478886","X","Figure from international organizations","base year is 2015"
