Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","642","Romania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","107.591247","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","108.105134","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","108.839259","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","109.699234","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","109.185346","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","108.461709","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","108.147084","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","108.052697","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","108.807796","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","109.279734","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","110.202634","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","111.29364","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","111.998937","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","113.629936","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","115.07359","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","115.47032","A","Official figure","base year is 2015"
